item;price;capacity
Red Plus 2 TB (WD20EFZX);2 940;2000
Red Plus 3 TB (WD30EFZX);3 295;3000
Red Plus 4 TB (WD40EFZX);3 570;4000
Red Plus 6 TB (WD60EFZX);5 600;6000
Red Plus 8 TB (WD80EFBX);6 800;8000
Red Plus 10 TB (WD101EFBX);8 759;10000
Red Plus 14 TB (WD140EFGX);11 100;14000
Red Plus 12 TB (WD120EFBX);11 399;12000
IronWolf (ST2000VN004);1 940;2000
IronWolf (ST1000VN002);2 037;1000
IronWolf (ST3000VN007);3 300;3000
IronWolf (ST4000VN008);3 645;4000
IronWolf 4 TB (ST4000VN006);3 856;4000
IronWolf 6 TB (ST6000VN001);4 600;6000
IronWolf (ST6000VN0033);5 902;6000
IronWolf 8 TB (ST8000VN004);6 120;8000
IronWolf 10 TB (ST10000VN0008);9 999;10000
IronWolf 10 TB (ST10000VN000);10 064;10000
IronWolf 12 TB (ST12000VN0008);10 662;12000
IronWolf 14 TB (ST14000VN0008);13 365;14000
IronWolf (ST6000VN0041);19 221;6000
IronWolf (ST12000VN0007);20 800;12000
IronWolf (ST8000VN0022);23 435;8000
IronWolf (ST10000VN0004);27 434;10000
IronWolf 16 TB (ST16000VN001);47 988;16000
Exos X16 12 TB (ST12000NM001G);8 399;12000
Exos X16 SATA 14 TB (ST14000NM001G);8 527;14000
Exos X16 SATA 16 TB (ST16000NM001G);9 742;16000
Exos X16 10 TB (ST10000NM001G);9 900;10000
Exos X16 SAS 16 TB (ST16000NM002G);11 346;16000
Exos X16 12 TB (ST12000NM002G);12 442;12000
Exos X16 14 TB (ST14000NM003G);12 460;14000
Exos X16 SAS 14 TB (ST14000NM002G);18 800;14000
MG08 4 TB (MG08ADA400E);5 359;4000
MG08 6 TB (MG08ADA600E);6 357;6000
MG08 8 TB (MG08ADA800E);7 204;8000
MG08 16 TB (MG08ACA16TE);10 692;16000
MG08 16 TB (MG08SCA16TE);14 205;16000
MG08 16 TB (MG08ACA16TA);17 995;16000
Exos X18 10 TB (ST10000NM018G);9 890;10000
Exos X18 10 TB (ST10000NM013G);10 783;10000
Exos X18 12 TB (ST12000NM000J);10 804;12000
Exos X18 12 TB (ST12000NM004J);11 923;12000
Exos X18 16TB (ST16000NM000J);12 431;16000
Exos X18 18 TB (ST18000NM000J);13 652;18000
Exos X18 18 TB (ST18000NM004J);14 891;18000
Exos X18 16 TB (ST16000NM001J);54 653;16000
Red Pro 2 TB (WD2002FFSX);3 602;2000
Red Pro 4 TB (WD4003FFBX);5 204;4000
Red Pro 6 TB (WD6003FFBX);7 930;6000
Red Pro 8 TB (WD8003FFBX);9 139;8000
Red Pro 4 TB (WD4002FFWX);11 137;4000
Red Pro 10 TB (WD102KFBX);11 480;10000
Red Pro 4 TB (WD4001FFSX);11 567;4000
Red Pro 12 TB (WD121KFBX);12 399;12000
Red Pro 16 TB (WD161KFGX);12 500;16000
Red Pro 6 TB (WD6002FFWX);13 719;6000
Red Pro 14 TB (WD141KFGX);15 500;14000
